               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.031573,           0.0090613,                   0,             0.89125,             0.88616,             0.90335,             0.42737,            0.039802,            0.021154,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.032279,           0.0092575,                   0,             0.89242,              0.8969,             0.91805,             0.41197,             0.04069,            0.021091,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.031987,           0.0098373,                   0,             0.89155,             0.91892,             0.92978,             0.39509,            0.041436,            0.020946,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.029598,           0.0099347,                   0,              0.8675,             0.91892,             0.91726,             0.39667,            0.041645,            0.021214,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.031448,           0.0086289,                   0,             0.89524,             0.89189,             0.93158,             0.41458,            0.041871,            0.021142,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.032946,           0.0091936,                   0,             0.89214,             0.89422,             0.91784,             0.41489,            0.040948,            0.021422,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.031811,           0.0096294,                   0,             0.91261,             0.86486,             0.91336,             0.41417,            0.041408,             0.02116,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.029554,           0.0097163,                   0,             0.86793,             0.88813,             0.91239,              0.4093,            0.041234,            0.020574,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.030169,           0.0087701,                   0,             0.88972,             0.91892,             0.93078,             0.40565,            0.040766,            0.020506,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.032108,           0.0090437,                   0,             0.90809,             0.89189,             0.92877,             0.39444,            0.040465,            0.020554,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.031896,           0.0089213,                   0,             0.89035,             0.87803,             0.91239,             0.38517,            0.040657,            0.021167,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.030082,           0.0093925,                   0,             0.92282,             0.78378,             0.88555,              0.3927,            0.040809,            0.021489,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.031265,           0.0091788,                   0,             0.91132,             0.83331,             0.90145,             0.39401,             0.04071,            0.020764,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.030303,           0.0095621,                   0,             0.88594,             0.83973,             0.90935,             0.40019,            0.040244,            0.020679,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.030842,           0.0094354,                   0,             0.88236,             0.81086,             0.87369,             0.38843,            0.042253,            0.021336,                   0,            0.005545,            0.005545,            0.005545
                 137,             0.03269,           0.0088298,                   0,             0.85049,             0.81081,             0.84604,             0.40744,            0.042565,            0.022096,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.029499,           0.0084519,                   0,             0.88177,              0.8064,              0.8561,             0.41326,            0.042229,            0.022362,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.032123,           0.0093262,                   0,             0.94098,              0.8619,             0.90175,             0.43523,            0.042265,            0.021834,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.031326,            0.009418,                   0,             0.87594,             0.76343,             0.83439,              0.4331,             0.04295,             0.02106,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.028643,           0.0095633,                   0,              0.9098,             0.86486,             0.89224,             0.44382,            0.041838,            0.020948,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.030832,           0.0077511,                   0,             0.85623,             0.78378,             0.85253,             0.41865,            0.043144,            0.021109,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.029301,           0.0087016,                   0,              0.9163,             0.88777,             0.90232,             0.43785,            0.042369,            0.021154,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.027031,           0.0093105,                   0,             0.90848,             0.89189,             0.91153,             0.44415,            0.041654,            0.021014,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.027646,           0.0083568,                   0,             0.90739,             0.81081,              0.8761,             0.43461,            0.043434,            0.021094,                   0,            0.005248,            0.005248,            0.005248
                 146,              0.0288,           0.0090877,                   0,             0.91135,             0.83364,              0.8802,             0.46305,            0.041097,            0.021033,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.030366,           0.0087581,                   0,             0.90695,             0.83784,             0.89021,             0.44372,            0.040821,            0.021216,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.029574,           0.0092192,                   0,             0.88456,             0.86486,             0.86938,             0.42781,            0.042218,            0.021545,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.027996,           0.0093722,                   0,              0.8872,             0.85047,             0.89026,             0.41561,             0.04212,            0.022014,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.029299,           0.0079573,                   0,              0.8881,             0.85817,             0.88563,             0.41642,            0.041993,            0.021782,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.028137,            0.008745,                   0,             0.88771,             0.85482,             0.88342,             0.43231,            0.041856,            0.021546,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.028718,           0.0079253,                   0,             0.87735,             0.86486,             0.88402,             0.42228,            0.041711,            0.021631,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.028734,            0.008911,                   0,              0.8808,             0.83784,             0.85684,             0.42172,            0.041976,            0.021948,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.028932,           0.0091217,                   0,             0.91144,             0.83456,             0.85516,             0.40814,            0.042093,            0.021895,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.026894,           0.0076654,                   0,             0.90381,             0.81081,             0.86237,             0.41629,            0.042362,            0.022119,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.029896,           0.0077626,                   0,             0.90316,             0.81081,             0.85363,             0.42616,            0.042041,            0.022759,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.027277,           0.0082268,                   0,             0.90796,             0.80005,             0.86538,             0.42796,            0.042318,            0.022076,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.027211,             0.00891,                   0,             0.81119,             0.83784,             0.87769,              0.4083,            0.042336,            0.022024,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.027396,           0.0079426,                   0,             0.93126,             0.73234,             0.85876,             0.42669,            0.042317,            0.022026,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.026671,           0.0085021,                   0,             0.86359,             0.85566,             0.87217,             0.42748,            0.041709,             0.02202,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.027115,           0.0080667,                   0,             0.86344,             0.86486,             0.89369,             0.42371,            0.042141,            0.021768,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.028106,           0.0076526,                   0,             0.88504,             0.83243,             0.87777,             0.43041,            0.041398,            0.021928,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.026584,           0.0088455,                   0,             0.88756,             0.85356,             0.87837,             0.41503,            0.041788,            0.021718,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.025945,           0.0088088,                   0,             0.88435,             0.83784,             0.88638,             0.42225,             0.04215,            0.021408,                   0,            0.004621,            0.004621,            0.004621
                 165,             0.02774,           0.0083073,                   0,             0.88408,             0.82472,             0.88586,             0.40424,            0.042493,            0.021441,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.027022,           0.0078374,                   0,             0.88517,              0.8335,             0.88946,             0.40489,            0.041765,            0.021167,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.026457,           0.0080547,                   0,             0.86099,             0.83784,             0.87329,             0.41061,            0.041616,            0.021184,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.026395,           0.0083069,                   0,             0.85697,             0.83784,             0.89355,             0.40032,            0.041985,             0.02113,                   0,            0.004489,            0.004489,            0.004489
                 169,             0.02792,           0.0085412,                   0,              0.8142,              0.8292,             0.86843,             0.41994,             0.04182,            0.020991,                   0,            0.004456,            0.004456,            0.004456
